wavelength[nm] rspd_A[-] rspd_D50[-] rspd_D65[-]
489 53.33320 92.27730 109.522
490 53.91320 91.96270 108.811
491 54.49580 92.33880 108.865
492 55.08130 92.71490 108.920
493 55.66940 93.09100 108.974
494 56.26030 93.46710 109.028
495 56.85390 93.84320 109.082
496 57.45010 94.21930 109.137
497 58.04890 94.59540 109.191
498 58.65040 94.97150 109.245
499 59.25450 95.34760 109.300
500 59.86110 95.72370 109.354
501 60.47030 95.81270 109.199
502 61.08200 95.90160 109.044
503 61.69620 95.99060 108.888
504 62.31280 96.07950 108.733
505 62.93200 96.16850 108.578
506 63.55350 96.25750 108.423
507 64.17750 96.34640 108.268
508 64.80380 96.43540 108.112
509 65.43250 96.52430 107.957
510 66.06350 96.61330 107.802
511 66.69680 96.66490 107.501
512 67.33240 96.71640 107.200
513 67.97020 96.76800 106.898
514 68.61020 96.81960 106.597
515 69.25250 96.87120 106.296
516 69.89690 96.92270 105.995
517 70.54350 96.97430 105.694
518 71.19220 97.02590 105.392
519 71.84300 97.07740 105.091
520 72.49590 97.12900 104.790
521 73.15080 97.62600 105.080
522 73.80770 98.12300 105.370
523 74.46660 98.62000 105.660
524 75.12750 99.11700 105.950
525 75.79030 99.61400 106.239
526 76.45510 100.1110 106.529
527 77.12170 100.6080 106.819
528 77.79020 101.1050 107.109
529 78.46050 101.6020 107.399
530 79.13260 102.0990 107.689
531 79.80650 101.9650 107.361
532 80.48210 101.8300 107.032
533 81.15950 101.6960 106.704
534 81.83860 101.5610 106.375
535 82.51930 101.4270 106.047
536 83.20170 101.2920 105.719
537 83.88560 101.1580 105.390
538 84.57120 101.0240 105.062
539 85.25840 100.8890 104.733
540 85.94700 100.7550 104.405
541 86.63720 100.9110 104.369
542 87.32880 101.0670 104.333
543 88.02190 101.2230 104.297
544 88.71650 101.3800 104.261
545 89.41240 101.5360 104.225
546 90.10970 101.6920 104.190
547 90.80830 101.8480 104.154
548 91.50820 102.0050 104.118
549 92.20950 102.1610 104.082
550 92.91200 102.3170 104.046
551 93.61570 102.0850 103.641
552 94.32060 101.8540 103.237
553 95.02670 101.6220 102.832
554 95.73390 101.3900 102.428
555 96.44230 101.1580 102.023
556 97.15180 100.9270 101.618
557 97.86230 100.6950 101.214
558 98.57390 100.4630 100.809
559 99.28640 100.2320 100.405
560 100.0000 100.0000 100.000
561 100.7150 99.77350 99.6334
562 101.4300 99.54700 99.2668
563 102.1460 99.32050 98.9003
564 102.8640 99.09400 98.5337
565 103.5820 98.86750 98.1671
566 104.3010 98.64100 97.8005
567 105.0200 98.41450 97.4339
568 105.7410 98.18800 97.0674
569 106.4620 97.96150 96.7008
570 107.1840 97.73500 96.3342
571 107.9060 97.85330 96.2796
572 108.6300 97.97160 96.2250
573 109.3540 98.08990 96.1703
574 110.0780 98.20820 96.1157
575 110.8030 98.32650 96.0611
576 111.5290 98.44480 96.0065
577 112.2550 98.56310 95.9519
578 112.9820 98.68140 95.8972
579 113.7090 98.79970 95.8426
580 114.4360 98.91800 95.7880
581 115.1640 98.37610 95.0778
582 115.8930 97.83420 94.3675
583 116.6220 97.29220 93.6573
584 117.3510 96.75030 92.9470
585 118.0800 96.20840 92.2368
586 118.8100 95.66650 91.5266
587 119.5400 95.12460 90.8163
588 120.2700 94.58260 90.1061
589 121.0010 94.04070 89.3958
590 121.7310 93.49880 88.6856
591 122.4620 93.91770 88.8177
592 123.1930 94.33660 88.9497
593 123.9240 94.75550 89.0818
594 124.6550 95.17440 89.2138
595 125.3860 95.59330 89.3459
596 126.1180 96.01220 89.4780
597 126.8490 96.43110 89.6100
598 127.5800 96.85000 89.7421
599 128.3120 97.26890 89.8741
600 129.0430 97.68780 90.0062
601 129.7740 97.84590 89.9655
602 130.5050 98.00410 89.9248
603 131.2360 98.16220 89.8841
604 131.9660 98.32030 89.8434
605 132.6970 98.47840 89.8026
606 133.4270 98.63660 89.7619
607 134.1570 98.79470 89.7212
608 134.8870 98.95280 89.6805
609 135.6170 99.11100 89.6398
610 136.3460 99.26910 89.5991
611 137.0750 99.24630 89.4091
612 137.8040 99.22360 89.2190
613 138.5320 99.20080 89.0290
614 139.2600 99.17810 88.8389
615 139.9880 99.15530 88.6489
616 140.7150 99.13250 88.4589
617 141.4410 99.10980 88.2688
618 142.1670 99.08700 88.0788
619 142.8930 99.06430 87.8887
620 143.6180 99.04150 87.6987
621 144.3430 98.70950 87.2577
622 145.0670 98.37760 86.8167
623 145.7900 98.04560 86.3757
624 146.5130 97.71360 85.9347
625 147.2350 97.38160 85.4936
626 147.9570 97.04970 85.0526
627 148.6780 96.71770 84.6116
628 149.3980 96.38570 84.1706
629 150.1170 96.05380 83.7296
630 150.8360 95.72180 83.2886
631 151.5540 96.03530 83.3297
632 152.2710 96.34890 83.3707
633 152.9880 96.66240 83.4118
634 153.7040 96.97600 83.4528
635 154.4180 97.28950 83.4939
636 155.1320 97.60300 83.5350
637 155.8450 97.91660 83.5760
638 156.5580 98.23010 83.6171
639 157.2690 98.54370 83.6581
640 157.9790 98.85720 83.6992
641 158.6890 98.53820 83.3320
642 159.3970 98.21920 82.9647
643 160.1040 97.90020 82.5975
644 160.8110 97.58120 82.2302
645 161.5160 97.26220 81.8630
646 162.2210 96.94320 81.4958
647 162.9240 96.62420 81.1285
648 163.6260 96.30520 80.7613
649 164.3270 95.98620 80.3940
650 165.0280 95.66720 80.0268
651 165.7260 95.91950 80.0456
652 166.4240 96.17170 80.0644
653 167.1210 96.42400 80.0831
654 167.8160 96.67620 80.1019
655 168.5100 96.92850 80.1207
656 169.2030 97.18080 80.1395
657 169.8950 97.43300 80.1583
658 170.5860 97.68530 80.1770
659 171.2750 97.93750 80.1958
660 171.9630 98.18980 80.2146
661 172.6500 98.67120 80.4209
662 173.3350 99.15250 80.6272
663 174.0190 99.63390 80.8336
664 174.7020 100.1150 81.0399
665 175.3830 100.5970 81.2462
666 176.0630 101.0780 81.4525
667 176.7410 101.5590 81.6588
668 177.4190 102.0410 81.8652
669 178.0940 102.5220 82.0715
670 178.7690 103.0030 82.2778
671 179.4410 102.6160 81.8784
672 180.1130 102.2290 81.4791
673 180.7830 101.8420 81.0797
674 181.4510 101.4550 80.6804
675 182.1180 101.0680 80.2810
676 182.7830 100.6810 79.8816
