wavelength[nm] mua[mm-1] std_mua[mm-1] rmus[mm-1] std_rmus[mm-1]
373.7206 1.20644567473448 0.217186117995993 5.25348608213532 0.689276573800835
378.1712 1.25006431182075 0.227172822191602 5.22646714825323 0.68521510166989
382.62181 1.31030650852105 0.242231350210568 5.19049781918992 0.679801081056427
387.07241 1.37932960886792 0.260789447133009 5.14431365662189 0.672921705493934
391.52301 1.45594213267202 0.282300114391358 5.08758122386535 0.66460408312886
395.97361 1.53764584597067 0.305700609010709 5.02104806825375 0.654996409118834
400.42421 1.61257808002047 0.326798360404099 4.94648525691597 0.64431520878197
404.87482 1.67000677437964 0.343035018549357 4.86642733699494 0.632776930865707
409.32542 1.70248944195842 0.351530867728579 4.78376746191798 0.620550817994164
413.77602 1.70427382692404 0.350558631319599 4.70130215559748 0.607767982153221
418.22662 1.67329634695038 0.339576452448418 4.62133086371747 0.594588188439035
422.67722 1.61178605919283 0.319220863968024 4.54539497281908 0.581279369725532
427.12783 1.52486110844997 0.291748072307115 4.47419873142364 0.568245497818248
431.57843 1.4182485717945 0.259443685618693 4.40770296282094 0.555968237081265
436.02903 1.3055579754211 0.226202271286203 4.3453380710874 0.544887025774359
440.47963 1.19350198037238 0.194658235896784 4.28625980679184 0.535283494018335
444.93023 1.08944779420012 0.166817578727421 4.22957322188036 0.527225256977789
449.38084 0.998754743466778 0.144157796426367 4.17447571822962 0.520576086873763
453.83144 0.922380652445139 0.126292753687325 4.12030715756993 0.515041073326858
458.28204 0.860228828935562 0.113085377991687 4.066529630836 0.51021694587553
462.73264 0.811014807883065 0.103682569771315 4.01268095390902 0.505644001412374
467.18324 0.770691320024175 0.0965524608368957 3.9583460931055 0.500870097563635
471.63385 0.736634929776928 0.0909556850108379 3.90317352776614 0.495526489332627
476.08445 0.705629413097128 0.0861355211018315 3.8469362546532 0.489396589082977
480.53505 0.676453308104623 0.0822149667498277 3.78961130876876 0.482453165525639
484.98565 0.648273250371882 0.0785637001034307 3.731439015852 0.474850700888392
489.43625 0.618941326853784 0.0749763985886606 3.672926392259 0.46687581624955
493.88686 0.589319117041929 0.072044426508453 3.61477872969733 0.458870770393788
498.33746 0.560197585707782 0.0692716601740046 3.55777025246212 0.45115024914954
502.78806 0.532767813272445 0.0676266069815443 3.50258827350158 0.443931438010528
507.23866 0.506838425838408 0.0668965340627856 3.44969761795695 0.437293199277506
511.68926 0.481969692821341 0.0674911501817954 3.39926642121864 0.431172163265805
516.13987 0.460413070931135 0.0696737244529227 3.35117489757416 0.425394710366255
520.59047 0.441997735615677 0.0730775396538323 3.30510128148574 0.419735728256595
525.04107 0.426330228531784 0.0775793846699891 3.26065379690689 0.413988321098753
529.49167 0.41207655867475 0.0824106129853199 3.21750451310721 0.408024694680279
533.94227 0.399382523241539 0.0869330272050312 3.17548233842764 0.40182926089649
538.39288 0.388623302852918 0.0906619824463912 3.13459924768567 0.395493746881197
542.84348 0.378101014366609 0.0934727573956946 3.09500822554263 0.389178064732659
547.29408 0.368133063156421 0.0951337846860052 3.05691424542428 0.383053092119758
551.74468 0.358187295176105 0.0957674489081096 3.02047443581936 0.377246270420546
556.19528 0.348015720582402 0.0954847057232762 2.98572334732335 0.371806317967552
560.64589 0.337614026697633 0.0941947051374605 2.95254747630098 0.366694506577454
565.09649 0.325732798639859 0.0919054132806366 2.92071365794363 0.361801679174071
569.54709 0.312717459792926 0.0882330591398994 2.88993616689466 0.356984515472414
573.99769 0.297490577970707 0.0831853152986164 2.85995604508462 0.352110979017132
578.44829 0.280158376818049 0.0766934274319891 2.83060408942807 0.347102132240425
582.8989 0.26134300681989 0.0689250583679176 2.80182837955874 0.341957423403559
587.3495 0.241350387983744 0.0604698123895655 2.7736820993966 0.336754596613959
591.8001 0.221390111987239 0.0520506605212874 2.74628153183312 0.331623773146016
596.2507 0.202283939506221 0.0446223024189871 2.71975390154628 0.326705567764492
600.7013 0.185622264435407 0.0387983310695908 2.69419445742251 0.322109644467186
605.15191 0.171747884238348 0.0349743091792176 2.66964568764296 0.317889049229347
609.60251 0.161142967900361 0.032832570059156 2.64610070652834 0.314036820927112
614.05311 0.153831563474713 0.0317860515408001 2.62352243267484 0.310500489398741
618.50371 0.149109627189882 0.0313016729819802 2.60186600899118 0.307204279052327
622.95431 0.146021477467153 0.0310891076988639 2.58109236956136 0.304069723569891
627.40492 0.14370255023802 0.0309627008990357 2.56116777586133 0.301030014447929
631.85552 0.14200428074869 0.0306234613887052 2.54205228848384 0.298036997831565
636.30612 0.140237955074631 0.0301328491123183 2.52368566076416 0.295061235754112
640.75672 0.138318370955055 0.029467650223596 2.50598126149989 0.292086919764265
645.20732 0.136503202224578 0.028616583840288 2.48883377872856 0.289104958604256
649.65793 0.134399228608544 0.0278328033133985 2.47213970389858 0.286108395303657
654.10853 0.132647451038541 0.027044119045196 2.45582241925928 0.283092555050072
658.55913 0.131085258556229 0.0263922219928186 2.43984945509763 0.280058659670655
663.00973 0.129777433091765 0.0259028523311756 2.42423196523288 0.277016981442176
667.46033 0.128874638659567 0.0255218354577976 2.40900218409066 0.273985527890373
671.91094 0.12803922474178 0.0253357671748731 2.39417428455846 0.270983202925783
676.36154 0.12734135129653 0.0252663707767425 2.37970212336104 0.268020166476096
680.81214 0.12730797301213 0.0250703615056958 2.36545042528086 0.265090450833394
685.26274 0.127417695150103 0.0248930582906517 2.35119418246884 0.262171613802273
689.71334 0.127468556894775 0.0247531411868523 2.33665166767855 0.259232869727924
694.16395 0.127259039837062 0.0246839556944728 2.32154545947254 0.256248902462045
