wavelength[nm] mua[mm-1] std_mua[mm-1] rmus[mm-1] std_rmus[mm-1]
369.27 1.35465496211619 0.156812168479397 11.5756698004082 1.25138205940698
373.7206 1.34602406242416 0.153197552329196 11.4718000612593 1.23412093236937
378.1712 1.33738052387757 0.150979571322255 11.3568402334789 1.2142843063995
382.62181 1.33327846594603 0.148133011189922 11.2283305854119 1.19208477255817
387.07241 1.32765535750764 0.146567477649902 11.0888493585496 1.16739689777774
391.52301 1.3193860387625 0.147135004010986 10.9379906436903 1.14147991516725
395.97361 1.30972040555558 0.147600969599887 10.7786951799812 1.1146161188978
400.42421 1.29559380300966 0.144605826268248 10.6114838238028 1.08800150473311
404.87482 1.27904922326004 0.141113036688951 10.4387951103569 1.06203219188416
409.32542 1.25815495276313 0.137493123440344 10.2612660342167 1.03759348533777
413.77602 1.23537283924609 0.132791188464321 10.0803474731582 1.01504573784932
418.22662 1.21098387391249 0.126808859839168 9.89677938210884 0.994802407048102
422.67722 1.1785989581346 0.120701326539689 9.71144675890118 0.97702333350409
427.12783 1.14390238977738 0.114116098977839 9.52576741995317 0.961486231650314
431.57843 1.1088681571326 0.106995832521452 9.34069364159914 0.948004430134271
436.02903 1.07400312804652 0.0993434207935805 9.15849853024834 0.935733562531288
440.47963 1.0341893199991 0.0921235138095478 8.98008750400212 0.924236193847688
444.93023 0.997352651830285 0.085046399513271 8.807828702973 0.912371753557631
449.38084 0.964322862274911 0.0781616681363805 8.64175180907538 0.899814929409638
453.83144 0.933778292315194 0.0725672515874314 8.48327987752806 0.885634696283039
458.28204 0.903042874000177 0.0679602099862128 8.33103213396853 0.870006375556307
462.73264 0.876712245184409 0.0654570825858908 8.18524023356571 0.852532167898277
467.18324 0.851603270388282 0.0634402621744425 8.04359390026642 0.833938778326076
471.63385 0.828335556342217 0.0624171333246722 7.90587028172394 0.814252043741405
476.08445 0.809956306272662 0.0630094105079827 7.76989948632301 0.794433572816803
480.53505 0.793394253206213 0.0645725264904599 7.63588138583998 0.774589093060044
484.98565 0.77384689823278 0.0649495541742287 7.5024552203684 0.755563829594108
489.43625 0.755987960523394 0.065277902245198 7.37046355185196 0.737303135543588
493.88686 0.73394048589957 0.065607090763844 7.23923640493462 0.720388737133514
498.33746 0.715171348847427 0.0666040615461341 7.10990862707327 0.704560509510762
502.78806 0.693929249777201 0.0660509587380593 6.98206274185188 0.690157480376131
507.23866 0.668105363709839 0.0651892475600238 6.85681653747921 0.676754313762145
511.68926 0.645329399386493 0.065409052433802 6.73379540438583 0.664519153211256
516.13987 0.620722945343901 0.0653718324919819 6.6141128669094 0.652920350290568
520.59047 0.596622476303688 0.0653128086952488 6.49746042481197 0.642063184681699
525.04107 0.573714192701455 0.0653450592608626 6.38504271446389 0.631415134170461
529.49167 0.555445603744728 0.0653093766485299 6.27657226014802 0.621172220862597
533.94227 0.530715883164068 0.0651458014822655 6.17326902978291 0.610925135362683
538.39288 0.507156373295588 0.0656343862421141 6.07467528129266 0.601070970299221
542.84348 0.487786551415249 0.0674583205627571 5.98185371178647 0.591348936287529
547.29408 0.467861175038788 0.0692441813740967 5.89402326693073 0.582305280869193
551.74468 0.451047249769913 0.0710594257884077 5.81200068133311 0.573691423678555
556.19528 0.432283250643537 0.0721079235864433 5.73467301355831 0.566014698243955
560.64589 0.415260100425293 0.073930585569116 5.66260805454538 0.558867845897087
565.09649 0.40299548260789 0.0752085989072725 5.5944186132047 0.552584340613613
569.54709 0.387970134303116 0.0761357049996102 5.5304224168037 0.546576888317434
573.99769 0.381719601267216 0.0776482160290275 5.46903933792681 0.541040423718352
578.44829 0.368714013839725 0.0777290212496626 5.41038579146674 0.535341274475327
582.8989 0.356633389954435 0.0776732882906458 5.35288538082416 0.52965694838852
587.3495 0.341348103254791 0.0775756382569621 5.2966554068585 0.523455728910465
591.8001 0.329243004458488 0.0772493987763723 5.24045715292666 0.516980184449999
596.2507 0.31782726075394 0.076534379275976 5.1846873810905 0.509881684964497
600.7013 0.306164968980131 0.0755476984052066 5.12871891174704 0.502493683334748
605.15191 0.296231684275622 0.0747571742882497 5.07333548600183 0.494678242823486
609.60251 0.289471317954118 0.0740805087907917 5.01849525338206 0.486850186616645
614.05311 0.283452701693376 0.0735455100578536 4.96516854126091 0.479053139615689
618.50371 0.277831070433059 0.0733511846001273 4.91357652963938 0.471713814795779
622.95431 0.271170991121177 0.0731777085493107 4.86449174066838 0.464944324922865
627.40492 0.266237793940102 0.0730528156348527 4.81800512565023 0.459051399488993
631.85552 0.25639131143737 0.0726965704140505 4.7744173828047 0.454062500827926
636.30612 0.25312837342996 0.0733266752511851 4.73349872441405 0.450056267541908
640.75672 0.252515408477421 0.0742848480639958 4.69508509825349 0.446895483738444
645.20732 0.252693926348917 0.0754461581822603 4.65871741057965 0.44444191514672
649.65793 0.254280607255589 0.0765173757622151 4.62401965367317 0.44244069830588
654.10853 0.256894721828632 0.0776454261813643 4.59054974238001 0.440657557999805
658.55913 0.259188596275559 0.0785800585140119 4.55800984040365 0.438837844091946
663.00973 0.260573246591476 0.07926479868738 4.52614174594773 0.436794852263216
667.46033 0.259734151521494 0.0795848777561381 4.49482707047059 0.434378698610449
671.91094 0.260284016270534 0.0797155154298278 4.46392682232586 0.431544730645463
676.36154 0.260181155111825 0.0795993714341346 4.43337086715973 0.428287322229
680.81214 0.260220545047765 0.0793893616366779 4.40293824870095 0.424710462931899
685.26274 0.260038159269608 0.0788462760140046 4.37245544867835 0.420902726351524
689.71334 0.259695566198295 0.0781853060456511 4.34155498123162 0.417031775427194
