wavelength[nm] mua[mm-1] std_mua[mm-1] rmus[mm-1] std_rmus[mm-1]
369.27 0.682949007839827 0.075294680243346 6.52003306090425 0.929292706797897
373.7206 0.680447240041281 0.0749008390321921 6.5047589677529 0.899900843474538
378.1712 0.679205917142124 0.0750028589064267 6.48687926542039 0.867415427816682
382.62181 0.678939862672269 0.0758417159784791 6.46181484600376 0.830811672448192
387.07241 0.680273185248219 0.07765871782215 6.42913811174796 0.792055081973554
391.52301 0.683701637935914 0.0806918508970835 6.38528660354002 0.750790089748053
395.97361 0.688175735259186 0.0851475332839824 6.33101819774519 0.709292627007928
400.42421 0.691848726942267 0.0908941248536661 6.26504119973634 0.6677320241822
404.87482 0.694155523578211 0.0972071214243474 6.18990119974166 0.628281162573153
409.32542 0.694080857467557 0.103137364602606 6.10661301412125 0.59111177590293
413.77602 0.688775223775757 0.107668826446854 6.01870847255398 0.557591129647153
418.22662 0.677202398692097 0.109625183178094 5.92818157921767 0.527403497601564
422.67722 0.658000523998692 0.108444357253622 5.83779993840802 0.500821531653107
427.12783 0.631454395097744 0.103917298787684 5.74883563319192 0.477288002245807
431.57843 0.598413678507118 0.0963829018170739 5.661928439759 0.456463339132807
436.02903 0.559072559431358 0.0869818889657411 5.57692388508562 0.438198746176699
440.47963 0.518123638772016 0.0764795385631202 5.49243085840921 0.421977235519324
444.93023 0.47772346537469 0.0662236036804659 5.40766280461701 0.408174616605675
449.38084 0.440130045667105 0.0573992206383186 5.3205544399497 0.395973405339681
453.83144 0.406946250871115 0.0506935136619401 5.23113827909679 0.38596611516286
458.28204 0.379020369676169 0.0463065733353282 5.13803092275661 0.376901697310223
462.73264 0.356530973784332 0.0438833135319068 5.04286050185048 0.369502867320774
467.18324 0.338592754102419 0.0430343923494085 4.94520893324728 0.362283148568073
471.63385 0.324629026603467 0.0432071187353131 4.84785681505288 0.356222589515023
476.08445 0.313376406940283 0.044066041405658 4.75061743176538 0.349823976245208
480.53505 0.303798689354402 0.0454707396504921 4.6563522914579 0.344330488581116
484.98565 0.295335053571278 0.0471968467848761 4.56424753137474 0.338268473555295
489.43625 0.287733139196881 0.0490761690435506 4.47649219132764 0.333009381178074
493.88686 0.28044021479053 0.0511712627811969 4.39140295527272 0.327094531653862
498.33746 0.274647327552154 0.0527219154944176 4.31047231531896 0.321959300519588
502.78806 0.268990528757127 0.0543415538962233 4.23155504241527 0.316253646776215
507.23866 0.26331240713797 0.0560373731300577 4.15589615318536 0.311480451399638
